Time,SensorTimestamp,Value,Sensor
154,1.13733712E14,370239.0,MAX86915 IR
154,1.13733712E14,363964.0,MAX86915 RED
155,1.1373372E14,370283.0,MAX86915 IR
155,1.1373372E14,363967.0,MAX86915 RED
156,1.13733729E14,370327.0,MAX86915 IR
156,1.13733729E14,364040.0,MAX86915 RED
157,1.13733737E14,370399.0,MAX86915 IR
157,1.13733737E14,363993.0,MAX86915 RED
158,1.13733754E14,370399.0,MAX86915 IR
158,1.13733754E14,364055.0,MAX86915 RED
159,1.13733762E14,370469.0,MAX86915 IR
159,1.13733762E14,364026.0,MAX86915 RED
160,1.13733771E14,370445.0,MAX86915 IR
160,1.13733771E14,364011.0,MAX86915 RED
161,1.13733779E14,370487.0,MAX86915 IR
161,1.13733779E14,364027.0,MAX86915 RED
162,1.13733787E14,370500.0,MAX86915 IR
162,1.13733787E14,364049.0,MAX86915 RED
163,1.13733804E14,370531.0,MAX86915 IR
163,1.13733804E14,364010.0,MAX86915 RED
164,1.13733813E14,370557.0,MAX86915 IR
164,1.13733813E14,364054.0,MAX86915 RED
165,1.13733821E14,370621.0,MAX86915 IR
165,1.13733821E14,364075.0,MAX86915 RED
166,1.13733829E14,370625.0,MAX86915 IR
166,1.13733829E14,364107.0,MAX86915 RED
167,1.13733838E14,370701.0,MAX86915 IR
167,1.13733838E14,364110.0,MAX86915 RED
168,1.13733855E14,370730.0,MAX86915 IR
168,1.13733855E14,364147.0,MAX86915 RED
169,1.13733863E14,370784.0,MAX86915 IR
169,1.13733863E14,364199.0,MAX86915 RED
170,1.13733871E14,370857.0,MAX86915 IR
170,1.13733871E14,364174.0,MAX86915 RED
171,1.1373388E14,370868.0,MAX86915 IR
171,1.1373388E14,364224.0,MAX86915 RED
172,1.13733888E14,370866.0,MAX86915 IR
172,1.13733888E14,364140.0,MAX86915 RED
173,1.13733905E14,370854.0,MAX86915 IR
173,1.13733905E14,364132.0,MAX86915 RED
174,1.13733913E14,370825.0,MAX86915 IR
174,1.13733913E14,364070.0,MAX86915 RED
175,1.13733922E14,370795.0,MAX86915 IR
175,1.13733922E14,364044.0,MAX86915 RED
176,1.1373393E14,370768.0,MAX86915 IR
176,1.1373393E14,364017.0,MAX86915 RED
177,1.13733938E14,370858.0,MAX86915 IR
177,1.13733938E14,364075.0,MAX86915 RED
178,1.13733947E14,370936.0,MAX86915 IR
178,1.13733947E14,364108.0,MAX86915 RED
179,1.13733964E14,371058.0,MAX86915 IR
179,1.13733964E14,364115.0,MAX86915 RED
180,1.13733972E14,371155.0,MAX86915 IR
180,1.13733972E14,364172.0,MAX86915 RED
181,1.1373398E14,371275.0,MAX86915 IR
181,1.1373398E14,364234.0,MAX86915 RED
182,1.13733989E14,371381.0,MAX86915 IR
182,1.13733989E14,364288.0,MAX86915 RED
183,1.13733997E14,371499.0,MAX86915 IR
183,1.13733997E14,364367.0,MAX86915 RED
184,1.13734014E14,371592.0,MAX86915 IR
184,1.13734014E14,364409.0,MAX86915 RED
185,1.13734022E14,371652.0,MAX86915 IR
185,1.13734022E14,364465.0,MAX86915 RED
186,1.13734031E14,371679.0,MAX86915 IR
186,1.13734031E14,364548.0,MAX86915 RED
187,1.13734039E14,371824.0,MAX86915 IR
187,1.13734039E14,364680.0,MAX86915 RED
188,1.13734047E14,371839.0,MAX86915 IR
188,1.13734047E14,364670.0,MAX86915 RED
189,1.13734064E14,371822.0,MAX86915 IR
189,1.13734064E14,364625.0,MAX86915 RED
190,1.13734073E14,371861.0,MAX86915 IR
190,1.13734073E14,364547.0,MAX86915 RED
191,1.13734081E14,371902.0,MAX86915 IR
191,1.13734081E14,364478.0,MAX86915 RED
192,1.13734089E14,371992.0,MAX86915 IR
192,1.13734089E14,364468.0,MAX86915 RED
193,1.13734098E14,372139.0,MAX86915 IR
193,1.13734098E14,364513.0,MAX86915 RED
194,1.13734115E14,372288.0,MAX86915 IR
194,1.13734115E14,364505.0,MAX86915 RED
195,1.13734123E14,372352.0,MAX86915 IR
195,1.13734123E14,364481.0,MAX86915 RED
196,1.13734131E14,372351.0,MAX86915 IR
196,1.13734131E14,364427.0,MAX86915 RED
197,1.1373414E14,372303.0,MAX86915 IR
197,1.1373414E14,364399.0,MAX86915 RED
198,1.13734148E14,372249.0,MAX86915 IR
198,1.13734148E14,364294.0,MAX86915 RED
199,1.13734165E14,372237.0,MAX86915 IR
199,1.13734165E14,364261.0,MAX86915 RED
200,1.13734173E14,372226.0,MAX86915 IR
200,1.13734173E14,364204.0,MAX86915 RED
201,1.13734182E14,372324.0,MAX86915 IR
201,1.13734182E14,364229.0,MAX86915 RED
202,1.1373419E14,372508.0,MAX86915 IR
202,1.1373419E14,364332.0,MAX86915 RED
203,1.13734198E14,372645.0,MAX86915 IR
203,1.13734198E14,364385.0,MAX86915 RED
204,1.13734207E14,372698.0,MAX86915 IR
204,1.13734207E14,364429.0,MAX86915 RED
205,1.13734224E14,372656.0,MAX86915 IR
205,1.13734224E14,364353.0,MAX86915 RED
206,1.13734232E14,372622.0,MAX86915 IR
206,1.13734232E14,364277.0,MAX86915 RED
207,1.1373424E14,372515.0,MAX86915 IR
207,1.1373424E14,364121.0,MAX86915 RED
208,1.13734249E14,372357.0,MAX86915 IR
208,1.13734249E14,363978.0,MAX86915 RED
209,1.13734257E14,372041.0,MAX86915 IR
209,1.13734257E14,363790.0,MAX86915 RED
210,1.13734274E14,371698.0,MAX86915 IR
210,1.13734274E14,363466.0,MAX86915 RED
211,1.13734282E14,371266.0,MAX86915 IR
211,1.13734282E14,363199.0,MAX86915 RED
212,1.13734291E14,370946.0,MAX86915 IR
212,1.13734291E14,362977.0,MAX86915 RED
213,1.13734299E14,370620.0,MAX86915 IR
213,1.13734299E14,362839.0,MAX86915 RED
214,1.13734308E14,370292.0,MAX86915 IR
214,1.13734308E14,362635.0,MAX86915 RED
215,1.13734324E14,369975.0,MAX86915 IR
215,1.13734324E14,362493.0,MAX86915 RED
216,1.13734333E14,369714.0,MAX86915 IR
216,1.13734333E14,362347.0,MAX86915 RED
217,1.13734341E14,369504.0,MAX86915 IR
217,1.13734341E14,362238.0,MAX86915 RED
218,1.13734349E14,369412.0,MAX86915 IR
218,1.13734349E14,362221.0,MAX86915 RED
219,1.13734358E14,369349.0,MAX86915 IR
